id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,101781.0,2017278519247,1,29770776300.0,102749.0,101477.0,-673.1075771343749,-0.65698,19818209.0,19818209.0,21000000.0,108786.0,-6.34051,01_02_2025_19_29_43
ethereum,eth,Ethereum,3225.59,388944051465,2,19164840521.0,3335.1,3229.45,-98.24084157718835,-2.95565,120520666.3730205,120520666.3730205,,4878.26,-33.66453,01_02_2025_19_29_43
ripple,xrp,XRP,2.95,170555311894,3,3517839716.0,3.07,2.96,-0.08490453919515373,-2.79432,57703732191.0,99986541057.0,100000000000.0,3.4,-12.79908,01_02_2025_19_29_43
tether,usdt,Tether,0.999873,139386917660,4,56475644552.0,0.9999,0.999501,0.00017881,0.01789,139404246312.2018,139404246312.2018,,1.32,-24.42974,01_02_2025_19_29_43
solana,sol,Solana,223.49,108831127631,5,3536429232.0,233.83,223.72,-8.359216183406659,-3.6055,486866365.6189468,593120155.7023274,,293.31,-23.66667,01_02_2025_19_29_43
binancecoin,bnb,BNB,663.8,96854557146,6,458426282.0,681.51,664.13,-15.758827987900986,-2.31897,145887575.79,145887575.79,200000000.0,788.84,-15.69094,01_02_2025_19_29_43
usd-coin,usdc,USDC,0.999995,53296202661,7,6709367107.0,1.0,0.999955,-4.4889902657719e-05,-0.00449,53296658772.9849,53296712321.12798,,1.17,-14.72621,01_02_2025_19_29_43
dogecoin,doge,Dogecoin,0.31784,47063125645,8,1115685502.0,0.331903,0.318415,-0.010844505578162912,-3.29937,147866676383.7052,147868456383.7052,,0.731578,-56.39824,01_02_2025_19_29_43
cardano,ada,Cardano,0.916199,32907294337,9,529493765.0,0.955362,0.917364,-0.03916274292612243,-4.09926,35894442320.29731,45000000000.0,45000000000.0,3.09,-70.20781,01_02_2025_19_29_43
staked-ether,steth,Lido Staked Ether,3211.43,30486375640,10,44593001.0,3329.46,3217.82,-112.49180503965727,-3.38431,9476794.67442416,9476794.67442416,,4829.57,-33.01207,01_02_2025_19_29_43
tron,trx,TRON,0.250791,21612349719,11,640824081.0,0.256357,0.250966,-0.003462539714102764,-1.36185,86124727797.37163,86124733897.16376,,0.431288,-41.74185,01_02_2025_19_29_43
chainlink,link,Chainlink,23.94,15294094567,12,789805296.0,25.87,23.97,-1.180448568335052,-4.6985,638099970.4505637,1000000000.0,1000000000.0,52.7,-54.38269,01_02_2025_19_29_43
avalanche-2,avax,Avalanche,33.18,13658292308,13,297219308.0,34.99,33.2,-1.5389596908710175,-4.43326,411698563.0243299,450034815.6454248,720000000.0,144.96,-77.0762,01_02_2025_19_29_43
wrapped-bitcoin,wbtc,Wrapped Bitcoin,101717.0,13136271406,14,459257093.0,102620.0,101386.0,-537.9097001940972,-0.52605,129138.42002211,129138.42002211,129138.42002211,108368.0,-5.98965,01_02_2025_19_29_43
wrapped-steth,wsteth,Wrapped stETH,3836.26,13097233866,15,40111050.0,3967.34,3845.14,-114.77675668495931,-2.90497,3414031.575792626,3414031.575792626,,7256.02,-46.89059,01_02_2025_19_29_43
stellar,xlm,Stellar,0.400868,12261338942,16,224385646.0,0.419634,0.401429,-0.012749810088278468,-3.08251,30576003616.63442,50001786894.45054,50001786894.45054,0.875563,-54.02346,01_02_2025_19_29_43
sui,sui,Sui,3.87,11942434743,17,330430155.0,4.13,3.87,-0.19657640803706977,-4.83515,3089707194.508888,10000000000.0,10000000000.0,5.35,-27.66195,01_02_2025_19_29_43
the-open-network,ton,Toncoin,4.77,11884586584,18,136496796.0,4.91,4.78,-0.0871289566282778,-1.79259,2489748469.794096,5121273152.497023,,8.25,-42.11905,01_02_2025_19_29_43
hedera-hashgraph,hbar,Hedera,0.294041,11262300153,19,227990391.0,0.310992,0.29465,-0.012899222633209806,-4.20252,38267523198.76317,50000000000.0,50000000000.0,0.569229,-48.20849,01_02_2025_19_29_43
shiba-inu,shib,Shiba Inu,1.809e-05,10659197484,20,251725818.0,1.918e-05,1.81e-05,-8.36434398948e-07,-4.41931,589254014781414.8,589507344173450.4,,8.616e-05,-78.99533,01_02_2025_19_29_43
weth,weth,WETH,3221.81,9577107995,21,1211748095.0,3333.86,3225.55,-96.55679979734396,-2.90977,2969173.582874778,2969173.582874778,,4799.89,-32.65462,01_02_2025_19_29_43
polkadot,dot,Polkadot,6.14,9344024129,22,310799876.0,6.47,6.14,-0.15130062620810492,-2.40564,1522267060.0,1522267060.0,,54.98,-88.81613,01_02_2025_19_29_43
litecoin,ltc,Litecoin,121.36,9163821280,23,968653616.0,130.36,121.48,-5.538230432912869,-4.36432,75484976.98347135,75485276.98347135,84000000.0,410.26,-70.34215,01_02_2025_19_29_43
hyperliquid,hype,Hyperliquid,27.01,9029333700,24,195184114.0,27.58,25.76,0.361418,1.3564,333928180.0,999990391.0,1000000000.0,34.96,-22.69967,01_02_2025_19_29_43
leo-token,leo,LEO Token,9.76,9023774156,25,431662.0,9.81,9.74,-0.002585707126904424,-0.02647,924210780.9,985239504.0,,9.93,-1.61778,01_02_2025_19_29_43
bitget-token,bgb,Bitget Token,6.86,8235830511,26,257772069.0,6.99,6.83,-0.06841032805963287,-0.98706,1199999994.2,1199999994.2,2000000000.0,8.45,-18.76494,01_02_2025_19_29_43
bitcoin-cash,bch,Bitcoin Cash,411.16,8150296403,27,208425080.0,430.82,411.42,-17.7456149701012,-4.13746,19823631.14665078,19823631.14665078,21000000.0,3785.82,-89.12025,01_02_2025_19_29_43
usds,usds,USDS,0.999558,6855192468,28,15536027.0,1.004,0.996545,-0.000100508083258344,-0.01005,6856195994.384759,6856195994.384759,,1.057,-5.46339,01_02_2025_19_29_43
uniswap,uni,Uniswap,11.33,6803045982,29,277596891.0,12.03,11.34,-0.6632649734315272,-5.53064,600483073.71,1000000000.0,1000000000.0,44.92,-74.72641,01_02_2025_19_29_43
wrapped-eeth,weeth,Wrapped eETH,3413.63,6693996064,30,101487353.0,3528.79,3416.34,-105.88064630017197,-3.00839,1959376.044258579,1959376.044258579,,4311.81,-20.71146,01_02_2025_19_29_43
ethena-usde,usde,Ethena USDe,0.998493,6091534709,31,51085853.0,1.003,0.998572,-0.003189652067486448,-0.31843,6100040547.93443,6100040547.93443,,1.032,-3.19082,01_02_2025_19_29_43
pepe,pepe,Pepe,1.289e-05,5430455927,32,902264199.0,1.425e-05,1.291e-05,-1.171935637833e-06,-8.3369,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-53.92006,01_02_2025_19_29_43
near,near,NEAR Protocol,4.38,5162779930,33,161503157.0,4.69,4.39,-0.2950156327439313,-6.30479,1177214942.0,1233226822.0,,20.44,-78.52109,01_02_2025_19_29_43
mantra-dao,om,MANTRA,5.3,5106436652,34,208053741.0,5.45,5.19,0.108151,2.08333,963539832.36,1806072474.07,,5.82,-8.92008,01_02_2025_19_29_43
aave,aave,Aave,309.75,4663408903,35,488919628.0,339.3,309.97,-26.071175344672554,-7.76342,15054420.850398658,16000000.0,16000000.0,661.69,-53.11473,01_02_2025_19_29_43
