id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage
bitcoin,btc,Bitcoin,81552.0,1623779253097,1,39525610920.0,83746.0,79271.0,1118.23,1.39025,19835675.0,19835675.0,21000000.0,108786.0,-24.63019
ethereum,eth,Ethereum,1868.95,226319104939,2,26258025533.0,1958.82,1851.69,-29.522520926729612,-1.55507,120609221.7240194,120609221.7240194,,4878.26,-61.47762
tether,usdt,Tether,0.999621,143121777967,3,60743016962.0,0.99983,0.99954,-0.000112469485062161,-0.01125,143182152538.009,143182152538.009,,1.32,-24.45152
ripple,xrp,XRP,2.17,126471852358,4,5459288166.0,2.23,2.07,0.050155,2.36859,58043299826.0,99986368206.0,100000000000.0,3.4,-35.80463
binancecoin,bnb,BNB,550.4,80438470497,5,1638136851.0,564.39,537.28,9.02,1.66622,145887575.79,145887575.79,200000000.0,788.84,-30.04691
solana,sol,Solana,121.76,62251670444,6,4905663427.0,128.13,119.05,-1.8805343569478907,-1.52093,509385427.0076299,596039382.1621096,,293.31,-58.33464
usd-coin,usdc,USDC,0.999808,58027742335,7,14104339432.0,0.999939,0.999793,-7.9086328937383e-05,-0.00791,58036425778.55694,58036705996.05344,,1.17,-14.74157
cardano,ada,Cardano,0.718059,26012717404,8,1317244922.0,0.743774,0.700582,-0.01191457648840899,-1.63219,35957314844.72886,45000000000.0,45000000000.0,3.09,-76.55714
dogecoin,doge,Dogecoin,0.161377,24082432365,9,1838775377.0,0.16817,0.153852,0.00168364,1.0543,148360876383.7051,148393316383.7052,,0.731578,-77.77696
tron,trx,TRON,0.22188,21134542060,10,996360863.0,0.232149,0.221696,-0.009009597542244396,-3.90212,95035867406.09637,95035910060.90196,,0.431288,-48.32835
staked-ether,steth,Lido Staked Ether,1867.82,17531927656,11,156842920.0,1955.28,1851.6,-27.557202829846347,-1.45392,9343402.507604603,9343770.765964812,,4829.57,-61.1864
pi-network,pi,Pi Network,1.48,10668484366,12,403538960.0,1.5,1.35,0.077602,5.53308,7155344217.86878,11008221873.64427,100000000000.0,2.99,-50.23143
wrapped-bitcoin,wbtc,Wrapped Bitcoin,81491.0,10577983074,13,344328803.0,83392.0,79167.0,1244.82,1.55125,129015.15757878,129015.15757878,129015.15757878,108368.0,-24.35193
leo-token,leo,LEO Token,9.85,9143113404,14,4751555.0,9.93,9.68,0.098525,1.01031,923953371.9,985239504.0,,10.14,-2.37858
hedera-hashgraph,hbar,Hedera,0.199651,8585245935,15,471178901.0,0.20364,0.191053,0.0041181,2.10609,42217580818.56079,50000000000.0,50000000000.0,0.569229,-64.29664
chainlink,link,Chainlink,12.86,8248223534,16,889534252.0,13.6,12.45,-0.040956980511232643,-0.31746,638099970.4505637,1000000000.0,1000000000.0,52.7,-75.43244
usds,usds,USDS,0.999846,8198504955,17,19929501.0,1.003,0.996975,-0.000260724826527503,-0.02607,8200222364.196942,8200222364.196942,,1.057,-5.39373
wrapped-steth,wsteth,Wrapped stETH,2236.4,7809933686,18,44557374.0,2339.52,2202.27,-28.089908787808326,-1.24045,3483893.353132422,3486496.347122446,,7256.02,-69.12014
stellar,xlm,Stellar,0.252105,7785576468,19,254471039.0,0.261386,0.244012,0.0019896,0.79547,30714916229.31806,50001786894.44301,50001786894.44301,0.875563,-71.00236
lombard-staked-btc,lbtc,Lombard Staked BTC,81605.0,7749130283,20,4482561.0,83538.0,79219.0,1226.34,1.52569,94453.56206566,94453.56206566,,114576.0,-28.56252
avalanche-2,avax,Avalanche,17.17,7152341072,21,484328261.0,17.88,16.56,0.177228,1.04313,414323658.7402429,450993133.9686929,720000000.0,144.96,-88.10127
shiba-inu,shib,Shiba Inu,1.193e-05,7070741305,22,278437737.0,1.23e-05,1.136e-05,2.09777e-07,1.78913,589253496579189.5,589506949838519.1,,8.616e-05,-86.07262
sui,sui,Sui,2.21,7059556781,23,1010022095.0,2.29,2.09,0.0075778,0.34383,3169845047.483887,10000000000.0,10000000000.0,5.35,-58.395
litecoin,ltc,Litecoin,89.21,6770020328,24,741860278.0,93.02,86.44,0.162749,0.18276,75622751.98347135,75624414.48347135,84000000.0,410.26,-78.16705
bitcoin-cash,bch,Bitcoin Cash,333.6,6619820533,25,228138245.0,348.86,326.65,-2.455322028141154,-0.73063,19840971.77165078,19840971.77165078,21000000.0,3785.82,-91.17246
the-open-network,ton,Toncoin,2.63,6547663088,26,197007712.0,2.73,2.54,0.02819542,1.08444,2481026075.853271,5124404227.509525,,8.25,-67.99429
mantra-dao,om,MANTRA,6.31,6168838178,27,107326772.0,6.39,6.18,-0.038079355126787284,-0.59956,975798525.07,1811462158.83,,8.99,-29.69876
polkadot,dot,Polkadot,3.95,6050034600,28,209945299.0,4.12,3.84,-0.021066874149108017,-0.53022,1522267060.0,1522267060.0,,54.98,-92.77043
ethena-usde,usde,Ethena USDe,0.999213,5449101690,29,64080266.0,1.0,0.9985,-0.000108562714391636,-0.01086,5453989743.12711,5453989743.12711,,1.032,-3.1808
weth,weth,WETH,1870.82,5296564579,30,1237491845.0,1956.97,1849.06,-26.660184642013974,-1.40503,2818729.399990768,2818729.399990768,,4799.89,-60.87068
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,5174526288,31,440486967.0,1.009,0.991333,-0.000120602033947925,-0.01205,5184994501.618546,5184994501.618546,,1.05,-4.82339
bitget-token,bgb,Bitget Token,4.13,4983028265,32,267046274.0,4.24,3.98,-0.011373662125113704,-0.2745,1199999994.2,1199999994.2,2000000000.0,8.45,-50.8596
hyperliquid,hype,Hyperliquid,13.5,4533147158,33,134219575.0,14.73,13.47,-0.8003183713640158,-5.59687,333928180.0,999990391.0,1000000000.0,34.96,-61.13387
whitebit,wbt,WhiteBIT Coin,28.82,4162440316,34,82873275.0,29.27,28.43,0.370767,1.30347,144118517.10815412,329229605.0,400000000.0,31.28,-7.75722
wrapped-eeth,weeth,Wrapped eETH,1985.88,3845612691,35,21293119.0,2081.65,1962.19,-27.63548364040321,-1.3725,1928695.321221951,1928695.660125704,,4311.81,-53.82225
monero,xmr,Monero,208.93,3843100889,36,59433624.0,213.2,201.33,5.65,2.77996,18446744.07370955,18446744.07370955,,542.33,-61.54658
uniswap,uni,Uniswap,5.84,3531412141,37,238056092.0,6.23,5.76,-0.050337629525989414,-0.85411,600483073.71,1000000000.0,1000000000.0,44.92,-86.90697
susds,susds,sUSDS,1.042,3418091658,38,2272344.0,1.046,1.039,-0.001339071247694168,-0.12832,3279446127.078502,3279446127.078502,,1.088,-4.14743
dai,dai,Dai,0.999671,3201145141,39,122886680.0,1.001,0.999081,2.287e-05,0.00229,3202775817.058345,3202775817.058345,,1.22,-18.00264
aptos,apt,Aptos,5.11,3043102582,40,241701078.0,5.64,5.09,-0.2645201276182707,-4.91725,590572846.1747226,1143897245.214778,,19.92,-74.22821
near,near,NEAR Protocol,2.4,2870858335,41,232498174.0,2.55,2.35,-0.03004599806659103,-1.23838,1190191932.0,1239515660.0,,20.44,-88.20939
pepe,pepe,Pepe,6.26e-06,2660510710,42,965690740.0,6.52e-06,5.67e-06,2.91686e-07,4.89097,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-77.51615
ondo-finance,ondo,Ondo,0.822696,2644537392,43,213728585.0,0.868922,0.782988,0.01151087,1.41902,3159107529.0,10000000000.0,10000000000.0,2.14,-61.05767
ethereum-classic,etc,Ethereum Classic,17.45,2638613478,44,106820997.0,18.12,17.16,0.183026,1.06021,151083085.3013964,151083085.3013964,210700000.0,167.09,-89.5359
aave,aave,Aave,171.32,2602333066,45,523979223.0,185.3,168.84,-9.982517426302849,-5.50614,15088246.400514996,16000000.0,16000000.0,661.69,-73.95689
internet-computer,icp,Internet Computer,5.3,2567320796,46,87233487.0,5.52,5.16,0.058989,1.12609,481416170.2867592,530292119.0446234,,700.65,-99.2397
okb,okb,OKB,40.98,2462547032,47,21465959.0,41.96,39.82,-0.030023847526287284,-0.0732,60000000.0,235957685.3,300000000.0,73.8,-44.40021
gatechain-token,gt,Gate,19.65,2422471081,48,34111924.0,20.17,19.05,0.054137,0.27628,122910587.76765741,300000000.0,,25.94,-24.03401
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,81588.0,2421279556,49,362383987.0,83652.0,79233.0,1247.27,1.55249,29562.86722011,29562.86722011,,108953.0,-25.04574
mantle,mnt,Mantle,0.708188,2383097959,50,83695861.0,0.721556,0.679882,0.01876732,2.72219,3364694382.83684,6219316794.99,6219316794.99,1.54,-54.00413
bittensor,tao,Bittensor,260.98,2228651127,51,211615028.0,270.0,231.45,25.4,10.78363,8462571.0,21000000.0,21000000.0,757.6,-65.26126
crypto-com-chain,cro,Cronos,0.078641,2167559878,52,34829839.0,0.082621,0.07742,-0.003723980338013397,-4.52134,27372265829.84708,30000000000.0,,0.965407,-91.80263
tokenize-xchange,tkx,Tokenize Xchange,27.0,2161109435,53,13532828.0,27.23,26.39,0.386738,1.45314,79995999.05112354,100000000.0,100000000.0,50.43,-46.43746
first-digital-usd,fdusd,First Digital USD,0.995742,2083729475,54,7521242377.0,1.008,0.988316,-0.005495833578535891,-0.5489,2087717049.930472,2087717049.930472,,1.15,-13.34623
official-trump,trump,Official Trump,10.16,2049828187,55,748736732.0,10.86,10.01,-0.3975910646138132,-3.76577,199999977.236,1000000000.0,1000000000.0,73.43,-86.09507
vechain,vet,VeChain,0.02328689,2019141671,56,70122422.0,0.02450997,0.02245063,2.753e-05,0.11835,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.64235
ethena,ena,Ethena,0.368268,1950283491,57,315174243.0,0.416726,0.367387,-0.04177415770691206,-10.18777,5285937500.0,15000000000.0,,1.52,-75.75757
polygon-ecosystem-token,pol,POL (ex-MATIC),0.210869,1821841707,58,88722850.0,0.217722,0.203781,0.00057424,0.27306,8593061307.797176,10376023854.8978,,1.29,-83.57382
filecoin,fil,Filecoin,2.71,1750195994,59,162684329.0,2.8,2.59,-0.006294866505634378,-0.23208,643244607.0,1959610475.0,1959610475.0,236.84,-98.85262
celestia,tia,Celestia,3.23,1748755132,60,139272873.0,3.31,2.85,0.368811,12.90707,537233712.821426,1104499726.027065,,20.85,-84.39936
kaspa,kas,Kaspa,0.066963,1736733077,61,188852628.0,0.074601,0.057999,0.00858847,14.71277,25826487850.01926,25844276538.76189,28704026601.0,0.207411,-67.62795
fasttoken,ftn,Fasttoken,3.99,1715025749,62,50717716.0,4.03,3.96,-0.001688717588360422,-0.04233,429525337.0,870742437.0,1000000000.0,4.07,-2.08515
cosmos,atom,Cosmos Hub,3.79,1677262896,63,144819136.0,3.98,3.58,0.183175,5.07654,439944727.258196,439944727.258196,,44.45,-91.4232
algorand,algo,Algorand,0.187572,1608680666,64,95322808.0,0.199008,0.185267,-0.005452887298646569,-2.82497,8485256162.495728,8485334286.153647,10000000000.0,3.56,-94.67856
render-token,render,Render,2.89,1506843776,65,199447427.0,3.05,2.72,0.03378292,1.18359,517716590.0562826,532476763.3362826,,13.53,-78.49484
arbitrum,arb,Arbitrum,0.331393,1470881395,66,239534903.0,0.346055,0.318519,0.00074264,0.2246,4419312625.0,10000000000.0,10000000000.0,2.39,-86.07563
arbitrum-bridged-usdt-arbitrum,usdt,Arbitrum Bridged USDT (Arbitrum),0.999501,1437716458,67,118685657.0,1.009,0.991692,-0.000238368022808078,-0.02384,1440460731.062262,1440460731.062262,,1.16,-13.83033
story-2,ip,Story,5.46,1368122355,68,121032020.0,5.58,5.07,0.00356018,0.06526,250471875.75,1000471682.11,,7.31,-25.20062
jupiter-exchange-solana,jup,Jupiter,0.503114,1358889973,69,70614785.0,0.524314,0.488093,0.00488268,0.98,2690911111.1,6999978412.092618,10000000000.0,2.0,-74.80257
kucoin-shares,kcs,KuCoin,10.91,1338412871,70,71114.0,11.2,10.78,-0.20227805178115688,-1.82102,122561753.8513356,142561753.8513356,,28.83,-62.20382
optimism,op,Optimism,0.819187,1334764125,71,181715047.0,0.877673,0.809931,-0.007638842854388206,-0.92388,1620705846.0,4294967296.0,4294967296.0,4.84,-82.9944
sonic-3,s,Sonic (prev. FTM),0.418676,1332149579,72,129939266.0,0.448642,0.411627,-0.012144802870365956,-2.81899,3175000000.0,3175000000.0,,1.029,-59.34624
solv-btc,solvbtc,Solv Protocol SolvBTC,81414.0,1287434983,73,4814993.0,83513.0,79316.0,1041.53,1.29589,15767.62334905728,15769.82785536728,21000000.0,108929.0,-25.02699
fetch-ai,fet,Artificial Superintelligence Alliance,0.466949,1224635363,74,235756101.0,0.49514,0.453621,0.00841649,1.83553,2604959126.672,2714493896.672,2714493896.672,3.45,-86.39282
movement,move,Movement,0.481393,1164941016,75,144531461.0,0.528939,0.478823,-0.018297295657117407,-3.66173,2400000000.0,10000000000.0,10000000000.0,1.45,-66.59669
binance-peg-weth,weth,Binance-Peg WETH,1871.69,1135798087,76,49955875.0,1954.33,1850.86,-29.5477445630313,-1.55413,604999.999959841,604999.999959841,,4098.26,-54.31705
quant-network,qnt,Quant,74.21,1084243669,77,35677723.0,77.36,70.69,1.61,2.21934,14544176.164091088,14612493.0,14612493.0,427.42,-82.56292
xdce-crowd-sale,xdc,XDC Network,0.068086,1074166558,78,37404607.0,0.070331,0.065356,0.00223579,3.39525,15694269714.3,37977804456.15,,0.192754,-64.49466
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1939.83,1064683346,79,2356753.0,2029.4,1919.51,-27.238431830767695,-1.38473,546209.2006086417,546209.2006086417,,4216.2,-53.83684
nexo,nexo,NEXO,1.019,1019904611,80,14833971.0,1.045,0.998429,0.01477071,1.4709,1000000000.0,1000000000.0,1000000000.0,4.07,-74.91667
dexe,dexe,DeXe,17.34,991403565,81,14212955.0,17.67,17.26,-0.03144396407543937,-0.18098,57103774.56313077,96504599.33609451,,32.38,-46.42964
usual-usd,usd0,Usual USD,0.997613,980559026,82,17816982.0,0.998055,0.997357,2.579e-05,0.00259,982684886.0662843,982684886.0662843,,1.33,-24.74614
maker,mkr,Maker,1090.2,933206888,83,97916410.0,1173.37,1074.29,-38.903808626640966,-3.44556,852068.9717752883,878313.5190819337,1005577.0,6292.31,-82.59421
rocket-pool-eth,reth,Rocket Pool ETH,2100.2,932714995,84,22755196.0,2199.53,2076.88,-27.665711815485338,-1.30016,442537.077459065,442537.077459065,,4814.31,-56.24035
flare-networks,flr,Flare,0.01543509,928348519,85,13278463.0,0.01571767,0.01450462,0.00089938,6.18738,60963544653.60519,103127502404.0353,,0.150073,-89.83329
blockstack,stx,Stacks,0.597929,913838616,86,34938736.0,0.627834,0.580076,-0.002449817183984182,-0.40805,1516557200.76344,1516557200.76344,1818000000.0,3.86,-84.40715
immutable-x,imx,Immutable,0.503789,898228844,87,38375951.0,0.533377,0.490646,0.00637092,1.2808,1768317543.3898141,2000000000.0,2000000000.0,9.52,-94.67246
injective-protocol,inj,Injective,9.01,884223594,88,140511304.0,9.54,8.76,-0.2720381088800998,-2.93019,97727220.33,100000000.0,,52.62,-82.81807
sei-network,sei,Sei,0.185373,874656282,89,94214013.0,0.197606,0.183456,-0.001653966111014177,-0.88435,4657499999.0,10000000000.0,,1.14,-83.55079
worldcoin-wld,wld,Worldcoin,0.782931,867339205,90,187288608.0,0.827229,0.77051,-0.016732435086570407,-2.09243,1099656619.273056,10000000000.0,10000000000.0,11.74,-93.29567
theta-token,theta,Theta Network,0.847817,850884165,91,29876446.0,0.876438,0.811493,0.02148476,2.60001,1000000000.0,1000000000.0,1000000000.0,15.72,-94.58152
the-graph,grt,The Graph,0.087696,847334247,92,43157488.0,0.092988,0.086063,0.00031832,0.36431,9548531509.16547,10788004319.0,10788004319.0,2.84,-96.88264
