asset_id,name,type_is_crypto,data_quote_start,data_quote_end,data_orderbook_start,data_orderbook_end,data_trade_start,data_trade_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd,price_usd,data_start,data_end
USD,US Dollar,0,2014-02-24T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-03-17T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2010-07-17T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,634393,1433831121023.04,122846454264857.53,2.0344827439969916e+16,,2010-07-17,2025-03-12
BTC,Bitcoin,1,2014-02-24T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-03-17T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2010-07-17T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,289650,1726952218476.58,139686492776032.44,2.3186730304982144e+16,81564.1865415188,2010-07-17,2025-03-12
PLN,Zloty,0,2017-08-30T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-04-05T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,141,8461.54,602344.73,154500845.83,0.259624271753918,2011-04-05,2025-03-12
EUR,Euro,0,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-04-06T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,3425,4634043.72,6670112244.4,2459850464603.57,1.0901025,2011-04-06,2025-03-12
CNY,Yuan Renminbi,0,2015-02-12T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2015-02-11T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2011-06-13T00:00:00.0000000Z,2022-06-10T14:00:00.0000000Z,430,0.0,0.0,0,0.138111784008413,2011-06-13,2025-03-12
JPY,Yen,0,2014-11-15T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2016-10-17T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-08-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,687,124256.91,5020446.9,524106757.51,0.00674424799948744,2011-08-27,2025-03-12
AUD,Australian Dollar,0,2017-03-19T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2017-03-18T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-02T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,419,7871.15,3020152.44,255260001.89,0.62909,2011-09-02,2025-03-12
CHF,Swiss Franc,0,2017-03-15T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2017-03-14T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-03T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,285,87446.43,5508682.68,485831529.42,1.13298399660105,2011-09-03,2025-03-12
SEK,Swedish Krona,0,2017-03-19T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2011-09-04T00:00:00.0000000Z,2025-01-18T00:00:00.0000000Z,55,0.0,0.0,0,0.0997697314597908,2011-09-04,2025-03-12
GBP,Pound Sterling,0,2014-11-15T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2015-02-11T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-06T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,676,126980.76,10865736.89,2855982053.84,1.2925625,2011-09-06,2025-03-12
DKK,Danish Krone,0,2018-01-25T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2011-09-06T00:00:00.0000000Z,2024-11-27T00:00:00.0000000Z,28,0.0,0.0,0,0.146215183423292,2011-09-06,2025-03-12
RUB,Russian Ruble,0,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-11T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,1816,0.0,0.0,0,,2011-09-11,2025-03-12
SGD,Singapore Dollar,0,2015-05-27T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2015-05-26T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-18T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,372,6419.54,561686.62,120044278.22,0.750691574613112,2011-09-18,2025-03-12
CAD,Canadian Dollar,0,2015-07-23T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2015-09-02T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,315,15222.19,1678664.63,253503533.76,0.693469253306982,2011-09-27,2025-03-12
NZD,New Zealand Dollar,0,2017-09-22T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2017-09-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2011-09-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,145,0.0,12518.71,2641733.81,0.570635,2011-09-27,2025-03-12
THB,Baht,0,2017-03-19T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2017-03-18T00:00:00.0000000Z,2025-01-08T00:00:00.0000000Z,2011-10-13T00:00:00.0000000Z,2022-06-24T00:00:00.0000000Z,200,0.0,0.0,0,0.0295608732281952,2011-10-13,2025-03-12
NIS,NIS,1,2018-01-25T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2013-03-15T00:00:00.0000000Z,2020-06-26T00:00:00.0000000Z,8,0.0,0.0,0,,2013-03-15,2025-03-12
LTC,Litecoin,1,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2013-05-19T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,30344,54733802.5,2057799667.21,687396543356.18,89.3356566061632,2013-05-19,2025-03-12
KRW,Won,0,2014-08-01T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-12T00:00:00.0000000Z,2013-09-03T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,2169,13013837.14,997499105.24,80344444242.44,0.000687085581383622,2013-09-03,2025-03-12
VEN,VeChain (pre-swap),1,2014-08-01T00:00:00.0000000Z,2025-03-11T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-11T00:00:00.0000000Z,2013-10-22T00:00:00.0000000Z,2024-11-27T00:00:00.0000000Z,123,0.0,0.0,0,,2013-10-22,2025-03-11
XRP,Ripple,1,2014-08-01T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-12T00:00:00.0000000Z,2013-11-25T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,39715,72770396.68,3332914751.46,428538211722.6,2.17075193179138,2013-11-25,2025-03-12
NMC,Namecoin,1,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2013-11-29T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,53,0.0,0.0,28.21,,2013-11-29,2025-03-12
USDT,Tether,1,2016-06-12T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2016-05-29T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2013-12-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,265367,300455569316.71,17360820020345.04,2893635170388302.5,0.999621296419302,2013-12-27,2025-03-12
DOGE,DogeCoin,1,2014-08-01T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-12T00:00:00.0000000Z,2014-02-21T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,31538,24544641.14,880974502.62,91001692680.06,0.161432228758942,2014-02-21,2025-03-12
PPC,Peercoin,1,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,103,327.65,27474.88,1067900.64,,2014-04-20,2025-03-12
TRC,Terracoin,1,2014-04-21T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-12T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,45,103.86,6332.28,771108.44,0.000330004641816036,2014-04-20,2025-03-12
