asset_id,name,type_is_crypto,data_quote_start,data_quote_end,data_orderbook_start,data_orderbook_end,data_trade_start,data_trade_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd,price_usd,data_start,data_end,row_update_date
USD,US Dollar,0,2014-02-24T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-03-17T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2010-07-17T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,648442,0,0,0,,2010-07-17,2025-03-21,21_03_2025_16_13_04
BTC,Bitcoin,1,2014-02-24T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-03-17T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2010-07-17T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,292654,0,0,0,83775.2285989088,2010-07-17,2025-03-21,21_03_2025_16_13_04
PLN,Zloty,0,2017-08-30T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-04-05T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,141,0,0,0,0.257634017995736,2011-04-05,2025-03-21,21_03_2025_16_13_04
EUR,Euro,0,2014-04-21T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-04-06T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,3430,0,0,0,1.08107,2011-04-06,2025-03-21,21_03_2025_16_13_04
CNY,Yuan Renminbi,0,2015-02-12T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2015-02-11T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2011-06-13T00:00:00.0000000Z,2022-06-10T14:00:00.0000000Z,430,0,0,0,,2011-06-13,2025-03-21,21_03_2025_16_13_04
JPY,Yen,0,2014-11-15T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2016-10-17T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-08-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,687,0,0,0,0.00668945541143496,2011-08-27,2025-03-21,21_03_2025_16_13_04
AUD,Australian Dollar,0,2017-03-19T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2017-03-18T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-02T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,419,0,0,0,0.6263,2011-09-02,2025-03-21,21_03_2025_16_13_04
CHF,Swiss Franc,0,2017-03-15T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2017-03-14T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-03T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,285,0,0,0,1.13131130293123,2011-09-03,2025-03-21,21_03_2025_16_13_04
SEK,Swedish Krona,0,2017-03-19T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2011-09-04T00:00:00.0000000Z,2025-01-18T00:00:00.0000000Z,55,0,0,0,0.0985995414135329,2011-09-04,2025-03-21,21_03_2025_16_13_04
GBP,Pound Sterling,0,2014-11-15T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2015-02-11T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-06T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,676,0,0,0,1.2895675,2011-09-06,2025-03-21,21_03_2025_16_13_04
DKK,Danish Krone,0,2018-01-25T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2011-09-06T00:00:00.0000000Z,2024-11-27T00:00:00.0000000Z,28,0,0,0,0.144910000021736,2011-09-06,2025-03-21,21_03_2025_16_13_04
RUB,Russian Ruble,0,2014-04-21T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-11T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,1816,0,0,0,,2011-09-11,2025-03-21,21_03_2025_16_13_04
SGD,Singapore Dollar,0,2015-05-27T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2015-05-26T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-18T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,372,0,0,0,0.748217372110946,2011-09-18,2025-03-21,21_03_2025_16_13_04
CAD,Canadian Dollar,0,2015-07-23T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2015-09-02T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,315,0,0,0,0.696577713692628,2011-09-27,2025-03-21,21_03_2025_16_13_04
NZD,New Zealand Dollar,0,2017-09-22T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2017-09-21T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2011-09-27T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,145,0,0,0,0.57289,2011-09-27,2025-03-21,21_03_2025_16_13_04
THB,Baht,0,2017-03-19T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2017-03-18T00:00:00.0000000Z,2025-01-08T00:00:00.0000000Z,2011-10-13T00:00:00.0000000Z,2022-06-24T00:00:00.0000000Z,200,0,0,0,0.0294563824616699,2011-10-13,2025-03-21,21_03_2025_16_13_04
NIS,NIS,1,2018-01-25T00:00:00.0000000Z,2025-03-04T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2013-03-15T00:00:00.0000000Z,2020-06-26T00:00:00.0000000Z,8,0,0,0,,2013-03-15,2025-03-21,21_03_2025_16_13_04
LTC,Litecoin,1,2014-04-21T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-04-20T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2013-05-19T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,32177,0,0,0,93.6306451949442,2013-05-19,2025-03-21,21_03_2025_16_13_04
KRW,Won,0,2014-08-01T00:00:00.0000000Z,2025-03-21T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-21T00:00:00.0000000Z,2013-09-03T00:00:00.0000000Z,2025-02-24T00:00:00.0000000Z,2173,0,0,0,,2013-09-03,2025-03-21,21_03_2025_16_13_04
VEN,VeChain (pre-swap),1,2014-08-01T00:00:00.0000000Z,2025-03-11T00:00:00.0000000Z,2014-07-31T13:05:46.0000000Z,2025-03-11T00:00:00.0000000Z,2013-10-22T00:00:00.0000000Z,2024-11-27T00:00:00.0000000Z,123,0,0,0,,2013-10-22,2025-03-11,21_03_2025_16_13_04
